Study_Key,taxasizegroupbroad,ecoregion.x,Species,groupPOO,richness,bodysizegroups,Year,MartenSpecies,Type,Sample.Size,Sample.Type,State_Province,Season,Lat,Long,Full.citation,ecoregion.y,aveelev,geometry,shannon,
Andruskiw_2003,Birds,Northern Forests,American marten,10.97560976,1,1,2003,American marten,Fecal sort,181,Scat,Ontario,All,50.6333,-93.2166,"Andruskiw, M., 2003. Prey abundance, availability, and anxiety in structured environments (Doctoral dissertation, University of Guelph).",Northern Forests,368.6555911,c(-93.2166, 50.6333),1.25296923
Andruskiw_2003,Mammals,Northern Forests,American marten,89.02439024,3,2,2003,American marten,Fecal sort,181,Scat,Ontario,All,50.6333,-93.2166,"Andruskiw, M., 2003. Prey abundance, availability, and anxiety in structured environments (Doctoral dissertation, University of Guelph).",Northern Forests,368.6555911,c(-93.2166, 50.6333),1.25296923
Baker_1992,Birds,Marine West Coast Forest,Pacific marten ,6.303116147,1,1,1992,Pacific marten ,Fecal sort,126,Scat,British Columbia,All,49.0166,-124.1333,"Baker, J.M., 1992. Habitat use and spatial organization of pine marten on southern Vancouver Island, British Columbia (Doctoral dissertation, Theses (Dept. of Biological Sciences)/Simon Fraser University).",Marine West Coast Forest,638.8934911,c(-124.1333, 49.0166),0
Baker_1992,Mammals,Marine West Coast Forest,Pacific marten ,33.35694051,1,1,1992,Pacific marten ,Fecal sort,126,Scat,British Columbia,All,49.0166,-124.1333,"Baker, J.M., 1992. Habitat use and spatial organization of pine marten on southern Vancouver Island, British Columbia (Doctoral dissertation, Theses (Dept. of Biological Sciences)/Simon Fraser University).",Marine West Coast Forest,638.8934911,c(-124.1333, 49.0166),0
Bateman_1986,Birds,Northern Forests,American marten,8.633093525,2,1,1986,American marten,Fecal sort,56,Scat,Newfoundland,Winter,48.509,-58.2469,"Bateman, M.C., 1986. Winter habitat use, food habits and home range size of the marten, Martes americana, in western Newfoundland. Canadian field-naturalist. Ottawa ON, 100(1), pp.58-62.",Northern Forests,147.5405046,c(-58.2469, 48.509),1.337786581
Bateman_1986,Mammals,Northern Forests,American marten,87.05035971,6,3,1986,American marten,Fecal sort,56,Scat,Newfoundland,Winter,48.509,-58.2469,"Bateman, M.C., 1986. Winter habitat use, food habits and home range size of the marten, Martes americana, in western Newfoundland. Canadian field-naturalist. Ottawa ON, 100(1), pp.58-62.",Northern Forests,147.5405046,c(-58.2469, 48.509),1.337786581
Bull_2000,Birds,Northwestern Forested Mountains,Pacific marten,11.39684395,1,1,2000,Pacific marten,Fecal sort,1014,Scat,Oregon,All,45.0877,-117.1766,"Bull, E.L., 2000. Seasonal and sexual differences in American marten diet in northeastern Oregon. Northwest science., 74(3), pp.186-191.",Northwestern Forested Mountains,2123.262934,c(-117.1766, 45.0877),1.571931825
Bull_2000,Mammals,Northwestern Forested Mountains,Pacific marten,65.40035067,11,2,2000,Pacific marten,Fecal sort,1014,Scat,Oregon,All,45.0877,-117.1766,"Bull, E.L., 2000. Seasonal and sexual differences in American marten diet in northeastern Oregon. Northwest science., 74(3), pp.186-191.",Northwestern Forested Mountains,2123.262934,c(-117.1766, 45.0877),1.571931825
Buskirk_1984,Birds,Northwestern Forested Mountains,American marten,7.22263589,1,1,1984,American marten,Fecal sort,467,Scat,Alaska,All,62.828,-148.496,"Buskirk, S.W. and MacDonald, S.O., 1984. Seasonal food habits of marten in south-central Alaska. Canadian Journal of Zoology, 62(5), pp.944-950.",Northwestern Forested Mountains,711.747484,c(-148.496, 62.828),0.393787104
Buskirk_1984,Mammals,Northwestern Forested Mountains,American marten,75.42814594,5,3,1984,American marten,Fecal sort,467,Scat,Alaska,All,62.828,-148.496,"Buskirk, S.W. and MacDonald, S.O., 1984. Seasonal food habits of marten in south-central Alaska. Canadian Journal of Zoology, 62(5), pp.944-950.",Northwestern Forested Mountains,711.747484,c(-148.496, 62.828),0.393787104
Campbell_1979,Birds,Northwestern Forested Mountains,Pacific marten,6.25,1,1,1979,Pacific marten,Fecal sort,145,Scat,Wyoming,Summer,43.7413,-110.4826,"Campbell, T.M., 1979. Short-term effects of timber harvests on pine marten ecology (Doctoral dissertation, Colorado State University).",Northwestern Forested Mountains,2398.45152,c(-110.4826, 43.7413),1.402488023
Campbell_1979,Mammals,Northwestern Forested Mountains,Pacific marten,70.3125,7,1,1979,Pacific marten,Fecal sort,145,Scat,Wyoming,Summer,43.7413,-110.4826,"Campbell, T.M., 1979. Short-term effects of timber harvests on pine marten ecology (Doctoral dissertation, Colorado State University).",Northwestern Forested Mountains,2398.45152,c(-110.4826, 43.7413),1.402488023
Carlson_2014,Birds,Northern Forests,American marten,12.21789883,2,1,2014,American marten,Fecal sort,70,Scat,Wisconsin,Winter,46.2084,-90.9057,"Carlson, J.E., Gilbert, J.H., Pokallus, J.W., Manlick, P.J., Moss, W.E. and Pauli, J.N., 2014. Potential role of prey in the recovery of American martens to Wisconsin. The Journal of Wildlife Management, 78(8), pp.1499-1504.",Northern Forests,448.7203626,c(-90.9057, 46.2084),1.567524195
Carlson_2014,Mammals,Northern Forests,American marten,86.692607,9,3,2014,American marten,Fecal sort,70,Scat,Wisconsin,Winter,46.2084,-90.9057,"Carlson, J.E., Gilbert, J.H., Pokallus, J.W., Manlick, P.J., Moss, W.E. and Pauli, J.N., 2014. Potential role of prey in the recovery of American martens to Wisconsin. The Journal of Wildlife Management, 78(8), pp.1499-1504.",Northern Forests,448.7203626,c(-90.9057, 46.2084),1.567524195
CoastRange_2025,Birds,Northwestern Forested Mountains,Pacific marten,23.21428571,5,1,2025,Pacific marten,DNA metabarcoding,39,Scat,California,Summer,41.426879,-123.684241,This Study,Northwestern Forested Mountains,1016.803316,c(-123.684241, 41.426879),2.255674583
CoastRange_2025,Mammals,Northwestern Forested Mountains,Pacific marten,71.42857143,8,2,2025,Pacific marten,DNA metabarcoding,39,Scat,California,Summer,41.426879,-123.684241,This Study,Northwestern Forested Mountains,1016.803316,c(-123.684241, 41.426879),2.255674583
CoastRange_2025,Reptiles,Northwestern Forested Mountains,Pacific marten,2.678571429,1,1,2025,Pacific marten,DNA metabarcoding,39,Scat,California,Summer,41.426879,-123.684241,This Study,Northwestern Forested Mountains,1016.803316,c(-123.684241, 41.426879),2.255674583
Cowan_1950,Birds,Northwestern Forested Mountains,Hybrid zone,4.436860068,1,1,1950,Hybrid zone,Fecal sort,200,Scat,"Alberta, British Columbia",All,52.057,-117.06,"Cowan, I.M. and Mackay, R.H., 1950. Food habits of the marten (Martes americana) in the Rocky Mountain region of Canada. Can Field-Nat, 64, pp.100-4.",Northwestern Forested Mountains,2174.180258,c(-117.06, 52.057),2.130901854
Cowan_1950,Mammals,Northwestern Forested Mountains,Hybrid zone,84.3003413,15,2,1950,Hybrid zone,Fecal sort,200,Scat,"Alberta, British Columbia",All,52.057,-117.06,"Cowan, I.M. and Mackay, R.H., 1950. Food habits of the marten (Martes americana) in the Rocky Mountain region of Canada. Can Field-Nat, 64, pp.100-4.",Northwestern Forested Mountains,2174.180258,c(-117.06, 52.057),2.130901854
Cumberland_2001,Birds,Northern Forests,American marten,16.48106904,3,1,2001,American marten,Stomach,594,Stomach,New Brunswick,Winter,48.0405,-67.2652,"Cumberland, R.E., Dempsey, J.A. and Forbes, G.J., 2001. Should diet be based on biomass? Importance of larger prey to the American marten. Wildlife Society Bulletin, pp.1125-1130.",Northern Forests,336.714094,c(-67.2652, 48.0405),1.609813572
Cumberland_2001,Mammals,Northern Forests,American marten,75.72383073,7,3,2001,American marten,Stomach,594,Stomach,New Brunswick,Winter,48.0405,-67.2652,"Cumberland, R.E., Dempsey, J.A. and Forbes, G.J., 2001. Should diet be based on biomass? Importance of larger prey to the American marten. Wildlife Society Bulletin, pp.1125-1130.",Northern Forests,336.714094,c(-67.2652, 48.0405),1.609813572
Douglass_1983,Birds,Taiga,American marten,2.911931818,1,1,1983,American marten,Fecal sort,172,Scat,Northwest Territories,"Spring, Fall, Winter",65.7591,-127.7574,"Douglass, R.J., Fisher, L.G. and Mair, M., 1983. Habitat selection and food habits of marten, Martes americana, in the Northwest Territories. Canadian Field-Naturalist.",Taiga,220.0872428,c(-127.7574, 65.7591),1.550628451
Douglass_1983,Mammals,Taiga,American marten,72.65625,6,1,1983,American marten,Fecal sort,172,Scat,Northwest Territories,"Spring, Fall, Winter",65.7591,-127.7574,"Douglass, R.J., Fisher, L.G. and Mair, M., 1983. Habitat selection and food habits of marten, Martes americana, in the Northwest Territories. Canadian Field-Naturalist.",Taiga,220.0872428,c(-127.7574, 65.7591),1.550628451
Drew_1997,Birds,Northern Forests,American marten,13.16415543,1,1,1997,American marten,Fecal sort,42,Scat,Newfoundland,Winter,48.3854,-57.8283,"Drew, G.S. and Bissonette, J.A., 1997. Winter activity patterns of American martens (Martes americana): rejection of the hypothesis of thermal-cost minimization. Canadian Journal of Zoology, 75(5), pp.812-816.",Northern Forests,355.8539177,c(-57.8283, 48.3854),1.333331821
Drew_1997,Mammals,Northern Forests,American marten,86.83584457,5,3,1997,American marten,Fecal sort,42,Scat,Newfoundland,Winter,48.3854,-57.8283,"Drew, G.S. and Bissonette, J.A., 1997. Winter activity patterns of American martens (Martes americana): rejection of the hypothesis of thermal-cost minimization. Canadian Journal of Zoology, 75(5), pp.812-816.",Northern Forests,355.8539177,c(-57.8283, 48.3854),1.333331821
Eriksson_2019,Birds,Marine West Coast Forest,Pacific marten,14.5473574,3,1,2019,Pacific marten,DNA metabarcoding,90,Scat,Oregon,"Spring, Fall, Winter",43.7,-124.1666,"Eriksson, C.E., Moriarty, K.M., Linnell, M.A. and Levi, T., 2019. Biotic factors influencing the unexpected distribution of a Humboldt marten (Martes caurina humboldtensis) population in a young coastal forest. PloS one, 14(5), p.e0214653.",Marine West Coast Forest,26.40856313,c(-124.1666, 43.7),2.003587598
Eriksson_2019,Mammals,Marine West Coast Forest,Pacific marten,25.56253271,7,2,2019,Pacific marten,DNA metabarcoding,90,Scat,Oregon,"Spring, Fall, Winter",43.7,-124.1666,"Eriksson, C.E., Moriarty, K.M., Linnell, M.A. and Levi, T., 2019. Biotic factors influencing the unexpected distribution of a Humboldt marten (Martes caurina humboldtensis) population in a young coastal forest. PloS one, 14(5), p.e0214653.",Marine West Coast Forest,26.40856313,c(-124.1666, 43.7),2.003587598
Francis_1958,Birds,Northern Forests,American marten,11.17845118,1,1,1958,American marten,Fecal sort,946,Scat,Ontario,"Summer, Fall",45.5937,-78.5255,"Francis, G.R., 1958. Ecological studies of marten (Martes americana) in Algonquin Park, Ontario (Doctoral dissertation, University of British Columbia).",Northern Forests,458.7038082,c(-78.5255, 45.5937),1.867956691
Francis_1958,Mammals,Northern Forests,American marten,52.25589226,11,3,1958,American marten,Fecal sort,946,Scat,Ontario,"Summer, Fall",45.5937,-78.5255,"Francis, G.R., 1958. Ecological studies of marten (Martes americana) in Algonquin Park, Ontario (Doctoral dissertation, University of British Columbia).",Northern Forests,458.7038082,c(-78.5255, 45.5937),1.867956691
Fuller_2005,Birds,Northern Forests,American marten,3.252747253,1,1,2005,American marten,Fecal sort,229,Scat,Maine,All,45.8175,-62.2448,"Fuller, A.K. and Harrison, D.J., 2005. Influence of partial timber harvesting on American martens in north?central Maine. The Journal of Wildlife Management, 69(2), pp.710-722.",Northern Forests,-19.05178446,c(-62.2448, 45.8175),1.554547347
Fuller_2005,Mammals,Northern Forests,American marten,67.56043956,6,2,2005,American marten,Fecal sort,229,Scat,Maine,All,45.8175,-62.2448,"Fuller, A.K. and Harrison, D.J., 2005. Influence of partial timber harvesting on American martens in north?central Maine. The Journal of Wildlife Management, 69(2), pp.710-722.",Northern Forests,-19.05178446,c(-62.2448, 45.8175),1.554547347
Gordon_1986,Birds,Northwestern Forested Mountains,Pacific marten,4.511677282,1,1,1986,Pacific marten,Stomach,47,Stomach,Colorado,Winter,40.7057,-105.6694,"Gordon, C.C., 1986. Winter food habits of the pine marten in Colorado. The Great Basin Naturalist, pp.166-168.",Northwestern Forested Mountains,2820.539514,c(-105.6694, 40.7057),1.367340396
Gordon_1986,Fishes,Northwestern Forested Mountains,Pacific marten,3.397027601,1,1,1986,Pacific marten,Stomach,47,Stomach,Colorado,Winter,40.7057,-105.6694,"Gordon, C.C., 1986. Winter food habits of the pine marten in Colorado. The Great Basin Naturalist, pp.166-168.",Northwestern Forested Mountains,2820.539514,c(-105.6694, 40.7057),1.367340396
Gordon_1986,Mammals,Northwestern Forested Mountains,Pacific marten,84.18259023,7,3,1986,Pacific marten,Stomach,47,Stomach,Colorado,Winter,40.7057,-105.6694,"Gordon, C.C., 1986. Winter food habits of the pine marten in Colorado. The Great Basin Naturalist, pp.166-168.",Northwestern Forested Mountains,2820.539514,c(-105.6694, 40.7057),1.367340396
Gosse_2005,Birds,Northern Forests,American marten,7.407407407,1,1,2005,American marten,"Fecal sort, stomach",704,"Scat, stomach",Newfoundland,All,48.6333,-57.8333,"Gosse, J.W. and Hearn, B.J., 2005. Seasonal diets of Newfoundland martens, Martes americana atrata. The Canadian Field-Naturalist, 119(1), pp.43-47.",Northern Forests,336.2701987,c(-57.8333, 48.6333),1.05055788
Gosse_2005,Mammals,Northern Forests,American marten,83.16498316,5,3,2005,American marten,"Fecal sort, stomach",704,"Scat, stomach",Newfoundland,All,48.6333,-57.8333,"Gosse, J.W. and Hearn, B.J., 2005. Seasonal diets of Newfoundland martens, Martes americana atrata. The Canadian Field-Naturalist, 119(1), pp.43-47.",Northern Forests,336.2701987,c(-57.8333, 48.6333),1.05055788
Hales_2008,Birds,Northern Forests,American marten,4.608853851,1,1,2008,American marten,Stomach,151,Stomach,Michigan,Winter,45.75,-84.25,"Hales, A.L., Belant, J.L. and Bird, J., 2008. Effects of Sex and Age on Winter Diet of American Martens in Michigan. Ohio Journal of Science, 108(4).",Northern Forests,175.1208714,c(-84.25, 45.75),1.871594903
Hales_2008,Mammals,Northern Forests,American marten,95.1788963,9,3,2008,American marten,Stomach,151,Stomach,Michigan,Winter,45.75,-84.25,"Hales, A.L., Belant, J.L. and Bird, J., 2008. Effects of Sex and Age on Winter Diet of American Martens in Michigan. Ohio Journal of Science, 108(4).",Northern Forests,175.1208714,c(-84.25, 45.75),1.871594903
Hargis_1984,Birds,Northwestern Forested Mountains,Pacific marten,13.4502924,1,1,1984,Pacific marten,Fecal sort,91,Scat,California,Winter,37.8721,-119.3476,"Hargis, C.D. and McCullough, D.R., 1984. Winter diet and habitat selection of marten in Yosemite National Park. The Journal of wildlife management, pp.140-146.",Northwestern Forested Mountains,2951.925278,c(-119.3476, 37.8721),1.686609781
Hargis_1984,Fishes,Northwestern Forested Mountains,Pacific marten,2.923976608,1,1,1984,Pacific marten,Fecal sort,91,Scat,California,Winter,37.8721,-119.3476,"Hargis, C.D. and McCullough, D.R., 1984. Winter diet and habitat selection of marten in Yosemite National Park. The Journal of wildlife management, pp.140-146.",Northwestern Forested Mountains,2951.925278,c(-119.3476, 37.8721),1.686609781
Hargis_1984,Mammals,Northwestern Forested Mountains,Pacific marten,69.59064327,11,3,1984,Pacific marten,Fecal sort,91,Scat,California,Winter,37.8721,-119.3476,"Hargis, C.D. and McCullough, D.R., 1984. Winter diet and habitat selection of marten in Yosemite National Park. The Journal of wildlife management, pp.140-146.",Northwestern Forested Mountains,2951.925278,c(-119.3476, 37.8721),1.686609781
Koehler_1977,Birds,Northwestern Forested Mountains,Hybrid zone,3.333333333,1,1,1977,Hybrid zone,Fecal sort,129,Scat,Idaho,"Summer, winter",46.2758,-115.0777,"Koehler, G.M. and Hornocker, M.G., 1977. Fire effects on marten habitat in the Selway-Bitterroot Wilderness. The Journal of Wildlife Management, pp.500-505.",Northwestern Forested Mountains,1799.768966,c(-115.0777, 46.2758),1.640255865
Koehler_1977,Mammals,Northwestern Forested Mountains,Hybrid zone,78.66666667,9,2,1977,Hybrid zone,Fecal sort,129,Scat,Idaho,"Summer, winter",46.2758,-115.0777,"Koehler, G.M. and Hornocker, M.G., 1977. Fire effects on marten habitat in the Selway-Bitterroot Wilderness. The Journal of Wildlife Management, pp.500-505.",Northwestern Forested Mountains,1799.768966,c(-115.0777, 46.2758),1.640255865
Kujawa_2014,Birds,Northern Forests,American marten,8.243727599,1,1,2014,American marten,Fecal sort,22,Scat,Michigan,Summer,44.285,-85.8749,"Kujawa, A., Keenlance, P. and Jacquot, J., 2014. Diet of Kit-rearing female martens in northern Michigan.",Northern Forests,270.6133429,c(-85.8749, 44.285),1.661342453
Kujawa_2014,Mammals,Northern Forests,American marten,60.5734767,8,1,2014,American marten,Fecal sort,22,Scat,Michigan,Summer,44.285,-85.8749,"Kujawa, A., Keenlance, P. and Jacquot, J., 2014. Diet of Kit-rearing female martens in northern Michigan.",Northern Forests,270.6133429,c(-85.8749, 44.285),1.661342453
Kujawa_2014,Reptiles,Northern Forests,American marten,1.792114695,1,1,2014,American marten,Fecal sort,22,Scat,Michigan,Summer,44.285,-85.8749,"Kujawa, A., Keenlance, P. and Jacquot, J., 2014. Diet of Kit-rearing female martens in northern Michigan.",Northern Forests,270.6133429,c(-85.8749, 44.285),1.661342453
Lensink_1955,Birds,Taiga,American marten,9.039548023,1,1,1955,American marten,"Fecal sort, stomach",466,"Scat, stomach",Alaska,All,63.7723,-125.4336,"Lensink, C.J., Skoog, R.O. and Buckley, J.L., 1955. Food habits of marten in interior Alaska and their significance. The Journal of Wildlife Management, 19(3), pp.364-368.",Taiga,683.1118012,c(-125.4336, 63.7723),0
Lensink_1955,Mammals,Taiga,American marten,72.63922518,1,1,1955,American marten,"Fecal sort, stomach",466,"Scat, stomach",Alaska,All,63.7723,-125.4336,"Lensink, C.J., Skoog, R.O. and Buckley, J.L., 1955. Food habits of marten in interior Alaska and their significance. The Journal of Wildlife Management, 19(3), pp.364-368.",Taiga,683.1118012,c(-125.4336, 63.7723),0
